korean,romaji,english
가게,gage,"store, shop"
가격,gagyeok,price
가구,gagu,furniture
가깝다,gakkapda,close
가끔,gakkeum,sometimes
가다,gada,go
가르치다,gareuchida,teach
가방,gabang,bag
가볍다,gabyeopda,light
가수,gasu,singer
가슴,gaseum,"chest, breast"
가요,gayo,song
가운데,gaunde,middle
가위,gawi,scissors
가을,gaeul,"autumn, fall"
가장,gajang,most
가져가다,gajyeogada,take away
가져오다,gajyeooda,bring
가족,gajok,family
가지,gaji,branch
가지다,gajida,have
각,gak,each
간,gan,while
간단하다,gandanhada,"simple, easy"
간단히,gandanhi,simply
간식,gansik,snack
간장,ganjang,soy sauce
간호사,ganhosa,nurse
갈비,galbi,"Galvi, spareribs"
갈비탕,galbitang,"Galbitang, spareribs soup"
갈색,galsaek,brown
갈아타다,garatada,transfer
감,gam,persimmon
감기,gamgi,cold
감기약,gamgiyak,cold medicine
감다,gamda,close ~ (eyes)
감동,gamdong,sensation
감동하다,gamdonghada,be impressed
감사,gamsa,thank
감사드립니다,gamsadeuripnida,thank you
감사하다,gamsahada,"thank, appreciate"
감사합니다,gamsahapnida,thank you
감자,gamja,potato
감자탕,gamjatang,"Gamjatang, potato soup"
갑자기,gapjagi,suddenly
값,gap,price
강,gang,river
강아지,gangaji,puppy
강좌,gangjwa,lecture
갖다,gatda,have
같다,gatda,same
같이,gati,together
개,gae,"dog, ~ piece(s)"
개나리,gaenari,forsythia
개인,gaein,individual
거기,geogi,there
거리,geori,street
거실,geosil,living room
거울,geoul,mirror
거의,geoui,"almost, nearly"
거짓말,geojitmal,lie
걱정,geokjeong,"anxiety, concern"
걱정하다,geokjeonghada,worry
건강,geongang,health
건강하다,geonganghada,be healthy
건너가다,geonneogada,cross (a road)
건너다,geonneoda,cross over
건너편,geonneopyeon,"other side, opposite side"
건물,geonmul,building
건배,geonbae,"cheers, toast"
걷다,geotda,walk
걸다,geolda,"bet, call"
걸리다,geolrida,"get caught, take (time)"
걸어가다,georeogada,walk (go)
걸어오다,georeooda,walk (come)
검은색,geomeunsaek,black
것,geot,"that, thing, it"
게임,geim,game
겨울,gyeoul,winter
겨울방학,gyeoulbanghak,winter vacation
결과,gyeolgwa,result
결정,gyeoljeong,decision
결정하다,gyeoljeonghada,decide
결혼,gyeolhon,marriage
결혼식,gyeolhonsik,wedding ceremony
결혼하다,gyeolhonhada,get married
경기,gyeonggi,"competition, game"
경기장,gyeonggijang,"stadium, arena"
경복궁,gyeongbokgung,Gyeongbokgung
경주,gyeongju,Gyeongju
경찰,gyeongchal,police
경찰관,gyeongchalgwan,police officer
경찰서,gyeongchalseo,police office
경치,gyeongchi,"view, landscape"
경험,gyeongheom,experience
계단,gyedan,stairs
계란,gyeran,egg
계산하다,gyesanhada,calculate
계속,gyesok,continue
계시다,gyesida,"be, exist (honorific form)"
계절,gyejeol,season
계획,gyehoek,plan
고기,gogi,meat
고등학교,godeunghakgyo,high school
고등학생,godeunghaksaeng,high school student
고르다,goreuda,choose
고마웠습니다,gomawotseupnida,Thank you (past tense)
고맙다,gomapda,thank
고맙습니다,gomapseupnida,Thank you
고모,gomo,paternal aunt
고모부,gomobu,paternal uncle
고속버스,gosokbeoseu,express bus
고양이,goyangi,cat
고장,gojang,"broken, malfunction"
고추,gochu,red pepper
고추장,gochujang,"Kochujang, red pepper paste"
고치다,gochida,fix
고프다,gopeuda,hungry
고향,gohyang,hometown
곧,got,soon
골목,golmok,alley
골프,golpeu,golf
곱다,gopda,beautiful
곳,got,place
공,gong,ball
공간,gonggan,space
공기,gonggi,air
공무원,gongmuwon,public official
공부,gongbu,study
공부하다,gongbuhada,study
공연,gongyeon,"show, public performance"
공원,gongwon,park
공중전화,gongjungjeonhwa,"payphone, public phone"
공짜,gongjja,free
공책,gongchaek,"notebook, note"
공항,gonghang,airport
공휴일,gonghyuil,public holiday
과,gwa,division
과거,gwageo,past
과일,gwail,fruit
과자,gwaja,snack
과학,gwahak,science
관계,gwangye,relation
관광하다,gwangwanghada,"travel, sightsee"
관심,gwansim,"attention, interest"
광고,gwanggo,advertisement
괜찮다,gwaenchanta,be okay
괜찮습니다,gwaenchansseupnida,It's fine.
교과서,gyogwaseo,textbook
교수,gyosu,professor
교실,gyosil,classroom
교체,gyoche,"substitute, change"
교통,gyotong,traffic
교통사고,gyotongsago,traffic accident
교회,gyohoe,church
구,gu,9
구경하다,gugyeonghada,take a look
구두,gudu,shoes
구름,gureum,cloud
구십,gusip,90
구월,guwol,September
구하다,guhada,"save, seek, get"
국,guk,soup
국내,guknae,domestic
국립,gukrip,"nationalestablished, state"
국수,guksu,noodle
국어,gugeo,Korean language
국적,gukjeok,"nationality, country of citizenship"
국제,gukje,international
군인,gunin,"soldier, military personnel"
굽다,gupda,bake
권,gwon,~ book(s)
귀,gwi,ear
귀엽다,gwiyeopda,cute
규칙,gyuchik,rule
귤,gyul,mandarin orange
그,geu,it
그거,geugeo,it
그것,geugeot,it
그곳,geugot,there
그날,geunal,that day
그냥,geunyang,"just, as it is"
그동안,geudongan,"meantime, meanwhile, up to now"
그들,geudeul,"them, they"
그때,geuttae,"then, at that time"
그래,geurae,"Yes, Yeah"
그래서,geuraeseo,"so, thus"
그램,geuraem,gram
그러나,geureona,"but, however"
그러니까,geureonikka,"so, because"
그러면,geureomyeon,"then, if so"
그런,geureon,"then, such"
그런데,geureonde,"by the way, however"
그럼,geureom,then
그렇게,geureoke,"like that, so"
그렇구나,geureokuna,"well, I see."
그렇다,geureota,"Yes, that's it."
그렇습니다,geureosseupnida,That's right.
그렇지만,geureochiman,"nevertheless, but"
그릇,geureut,"bowl, container, tableware"
그리고,geurigo,and
그리다,geurida,draw
그림,geurim,"drawing, picture"
그만,geuman,"stop, finish"
그분,geubun,"his, the person"
그저께,geujeokke,day before yesterday
그중,geujung,among them
그쪽,geujjok,"there, the person"
그치다,geuchida,"stop, end, cease"
극장,geukjang,"theater, cinema"
근처,geuncheo,"nearby, neighborhood"
글,geul,"post, sentence, character"
글쎄요,geulsseyo,"I do not know., well, I guess ~"
금방,geumbang,"soon, a little while ago"
금연,geumyeon,no smoking
금요일,geumyoil,Friday
금주,geumju,"abstinence, temperance"
급,geup,"class, grade"
급하다,geuphada,"hurry, urgent"
기간,gigan,"term, period"
기다리다,gidarida,wait
기르다,gireuda,"cultivate, grow"
기름,gireum,"oil, gasoline"
기분,gibun,feeling
기뻐하다,gippeohada,"glad, delight"
기쁘다,gippeuda,happy
기사,gisa,"article, driver, engineer"
기숙사,gisuksa,dormitory
기억하다,gieokhada,remember
기온,gion,temperature
기자,gija,reporter
기차,gicha,train
기침,gichim,cough
기타,gita,other
긴장되다,ginjangdoeda,be nervous
길,gil,"way, road"
길다,gilda,long
김,gim,seaweed
김밥,gimbap,Kimbab
김치,gimchi,Kimchi
김치찌개,gimchijjigae,Kimchi stew
김포공항,gimpogonghang,Gimpo International Airport
까만색,kkamansaek,black color
까맣다,kkamata,black
깎다,kkakda,"cut, shave"
깜짝,kkamjjak,"startled, surprised"
깨끗하다,kkaekkeuthada,clean
깨다,kkaeda,"wake up, crack, break"
깨지다,kkaejida,"chip, crack, break"
꺼내다,kkeonaeda,take out
껌,kkeom,chewing gum
꼭,kkok,"exactly, absolutely"
꽃,kkot,flower
꽃집,kkotjip,florist
꾸다,kkuda,dream
꿈,kkum,dream
끄다,kkeuda,"turn off, extinguish, stop"
끓이다,kkeurida,boil
끝,kkeut,end
끝나다,kkeutnada,"finish, end"
끝내다,kkeutnaeda,finish
끼다,kkida,"put on, plug, (fog) rolls in"
나,na,I
나가다,nagada,"go out, get out"
나누다,nanuda,"share, divide"
나다,nada,"occur, come out"
나라,nara,country
나무,namu,tree
나빠지다,nappajida,"spoil, deteriorate"
나쁘다,nappeuda,bad
나오다,naoda,"come out, appear"
나이,nai,"age, old"
나중,najung,"later, after"
나타나다,natanada,appear
나흘,naheul,four days
낚시,naksi,fishing
날,nal,day
날씨,nalssi,weather
날짜,naljja,date
남,nam,"south, man"
남기다,namgida,leave
남녀,namnyeo,men and women
남대문시장,namdaemunsijang,Namdaemun market
남동생,namdongsaeng,younger brother
남미,nammi,South America
남북,nambuk,north and south
남자,namja,man
남쪽,namjjok,south
남편,nampyeon,husband
남학생,namhaksaeng,male student
낮,nat,"day, noon, during the day"
낮다,natda,low
내,nae,"of mine, my"
내가,naega,I
내과,naegwa,internal medicine
내년,naenyeon,next year
내다,naeda,"pay, put out"
내려가다,naeryeogada,go down
내려오다,naeryeooda,come down
내리다,naerida,go down
내용,naeyong,content
내일,naeil,tomorrow
냄비,naembi,pot
냄새,naemsae,smell
냉면,naengmyeon,cold noodle
냉장고,naengjanggo,refrigerator
너,neo,you
너무,neomu,"too, very"
넓다,neolda,wide
넘다,neomda,"exceed, more than"
넘어지다,neomeojida,"fall down, fall"
넣다,neota,put in
네,ne,"yes, 4"
넥타이,nektai,necktie
넷,net,4
넷째,netjjae,fourth
년,nyeon,year
노란색,noransaek,yellow color
노랗다,norata,yellow
노래,norae,song
노래방,noraebang,Karaoke shop
노래하다,noraehada,sing
노력하다,noryeokhada,"endeavor, strive"
노트,noteu,note
녹색,noksaek,green
녹차,nokcha,green tea
놀다,nolda,play
놀라다,nolrada,be surprised
농구,nonggu,basketball
높다,nopda,high
놓다,nota,put
누가,nuga,who
누구,nugu,who
누나,nuna,sister (as seen from the younger brother)
누르다,nureuda,"press down, push"
눈,nun,"eye, snow"
눈물,nunmul,tear
눈사람,nunsaram,snowman
눈싸움,nunssaum,"staring contest, snowball fight"
눕다,nupda,"lie down, sleep"
뉴스,nyuseu,news
뉴욕,nyuyok,New York
느끼다,neukkida,feel
느낌,neukkim,feeling
느리다,neurida,slow
늘,neul,always
늘다,neulda,"gain, increase"
능력,neungryeok,ability
늦다,neutda,"late, delay"
늦잠,neutjam,"overslept, sleeping in late"
님,nim,Sir
다,da,"all, whole"
다녀오다,danyeooda,"return, come back"
다니다,danida,"go, commute"
다르다,dareuda,different
다른,dareun,"other ~, another ~, different ~"
다리,dari,"bridge, leg, foot"
다섯,daseot,5
다시,dasi,again
다음,daeum,"next, after"
다음달,daeumdal,next month
다음주,daeumju,next week
다음해,daeumhae,"next year, following year"
다이어트,daieoteu,diet
다치다,dachida,hurt
닦다,dakda,"wipe, polish"
단어,daneo,word
단점,danjeom,"disadvantage, shortcoming, drawback"
닫다,datda,close
닫히다,dathida,"shut, close"
달,dal,"month, moon"
달걀,dalgyal,egg
달다,dalda,sweet
달러,dalreo,dollar
달력,dalryeok,calendar
달리다,dalrida,run
닭,dak,"chicken, hen"
닭고기,dakgogi,chicken
닮다,damda,resemble
담그다,damgeuda,"dip, pickle"
담배,dambae,tobacco
답장,dapjang,reply
당근,danggeun,carrot
당신,dangsin,you
대,dae,"versus, large"
대답,daedap,answer
대답하다,daedaphada,"answer, reply"
대부분,daebubun,"mostly, almost"
대사관,daesagwan,embassy
대학,daehak,"university, college"
대학교,daehakgyo,"university, college"
대학생,daehaksaeng,college student
대학원,daehagwon,graduate school
대학원생,daehagwonsaeng,"postgraduate student, graduate student"
대한민국,daehanminguk,"Republic of Korea, South Korea"
대화,daehwa,"conversation, dialogue"
대회,daehoe,"competition, tournament"
댁,daek,house
더,deo,more
더럽다,deoreopda,dirty
더운물,deounmul,hot water
덕분,deokbun,"thanks for, thanks to"
덥다,deopda,hot
덮다,deopda,cover
데리다,derida,"bring, take along"
데이트,deiteu,"date, dating"
도로,doro,road
도서관,doseogwan,library
도시,dosi,city
도와주다,dowajuda,help
도움,doum,"help, assistance"
도착,dochak,arrival
도착하다,dochakhada,arrive
도쿄,dokyo,Tokyo
독서,dokseo,reading
독서실,dokseosil,reading room
독서하다,dokseohada,read
독일,dogil,Germany
돈,don,money
돌아가다,doragada,"return, go back"
돌아오다,doraoda,"come back, come home"
돕다,dopda,help
동네,dongne,"town, neighborhood"
동대문시장,dongdaemunsijang,Dongdaemun market
동물,dongmul,animal
동생,dongsaeng,"brother, sister"
동아리,dongari,"club, group"
동안,dongan,"during, between"
동양,dongyang,"eastern, orient"
동전,dongjeon,coin
동쪽,dongjjok,east
돼지,dwaeji,pig
돼지고기,dwaejigogi,pork
되다,doeda,become
된장,doenjang,fermented soybean paste
된장국,doenjangguk,soybean paste soup
된장찌개,doenjangjjigae,soybean paste stew
두,du,two
두껍다,dukkeopda,thick
두다,duda,put
두부,dubu,tofu
두부찌개,dubujjigae,tofu soup
둘,dul,2
둘째,duljjae,"second, the second of~"
뒤,dwi,"rear, back"
뒤쪽,dwijjok,"behind, back, towards the rear"
드라마,deurama,drama
드리다,deurida,give
드시다,deusida,eat (honorific form)
듣기,deutgi,"listening, hearing"
듣다,deutda,listen
들,deul,"field, ~s,"
들다,deulda,"hold, enter"
들어가다,deureogada,"go in, enter"
들어오다,deureooda,"come in, enter"
등,deung,"etc, back"
등산,deungsan,"hiking, mountain-climbing"
등산복,deungsanbok,mountaineering clothing
등산화,deungsanhwa,"hiking boots, climbing shoes"
디브이디,dibeuidi,DVD
디자인,dijain,design
따뜻하다,ttatteuthada,warm
따라가다,ttaragada,follow
따라오다,ttaraoda,"come with, follow"
따로,ttaro,separately
따르다,ttareuda,follow
딸,ttal,daughter
딸기,ttalgi,strawberry
땀,ttam,sweat
때,ttae,time
때문,ttaemun,"because, for ~, so~"
떠나다,tteonada,leave
떠들다,tteodeulda,"chatter, make a noise"
떡,tteok,rice cake
떡국,tteokguk,rice cake soup
떡볶이,tteokbokki,Toppogi
떨어지다,tteoreojida,drop
또,tto,"in addition, again"
또는,ttoneun,or
똑같다,ttokgatda,same
똑바로,ttokbaro,"upright, straight"
뛰다,ttwida,run
뜨겁다,tteugeopda,hot
뜨다,tteuda,"rise, open (the eyes)"
뜻,tteut,meaning
라디오,radio,radio
라면,ramyeon,ramen
러시아,reosia,Russia
로션,rosyeon,skin lotion
마늘,maneul,garlic
마르다,mareuda,dry
마리,mari,"~ animal(s), ~ head(s)"
마시다,masida,drink
마음,maeum,"mind, feeling"
마지막,majimak,last
마치다,machida,"finish, end"
마흔,maheun,40
막히다,makhida,"be blocked, be clogged"
만,man,"only, ten thousand"
만나다,mannada,meet
만두,mandu,dumpling
만들다,mandeulda,"make, create"
만일,manil,"if, should"
만지다,manjida,touch
만화,manhwa,"comic book, cartoon"
많다,manta,many
많이,mani,"a lot of, many"
말,mal,"word, talk"
말씀,malsseum,"words, remarks"
말씀하다,malsseumhada,talk
말하기,malhagi,speaking
말하다,malhada,"say, talk"
맑다,makda,"clear, clean"
맛,mat,"flavor, taste"
맛없다,maseopda,not delicious
맛있다,masitda,delicious
맞다,matda,"right, fit, correct"
맞습니다,matseupnida,That's right.
맞아요,majayo,That's right.
맞은편,majeunpyeon,"across, the other side, opposite"
매다,maeda,tie
매우,maeu,"extremely, very"
매일,maeil,everyday
매주,maeju,every week
맥주,maekju,beer
맵다,maepda,spicy
머리,meori,"head, hair"
먹다,meokda,eat
먼저,meonjeo,"first, first of all, before"
멀다,meolda,"far, distant, long"
멋있다,meositda,"cool, nice"
메뉴,menyu,menu
메다,meda,"shoulder, carry"
메모,memo,memo
메시지,mesiji,message
멕시코,meksiko,Mexico
며칠,myeochil,"a few days, what date"
면도,myeondo,"razor, shaving"
명,myeong,~  person(s)
명절,myeongjeol,"holidays, annual events"
몇,myeot,"a few, a number of"
모두,modu,"all, everyone"
모레,more,the day after tomorrow
모르겠습니다,moreugetseupnida,I don't know.
모르다,moreuda,do not know
모시다,mosida,"take you, serve you  (honorific form)"
모양,moyang,"shape, form, style"
모으다,moeuda,"collect, gather"
모이다,moida,"gather, get together"
모임,moim,"meeting, gathering"
모자,moja,hat
목,mok,"neck, throat"
목걸이,mokgeori,necklace
목소리,moksori,voice
목요일,mogyoil,Thursday
목욕,mogyok,"bath, bathing"
목욕하다,mogyokhada,take a bath
목적,mokjeok,purpose
몸,mom,body
몸살,momsal,"sickness, disease that comes from fatigue"
못하다,mothada,~ can not do
몽골,monggol,Mongolia
무,mu,radish
무겁다,mugeopda,heavy
무궁화,mugunghwa,rose of sharon
무료,muryo,free
무릎,mureup,knee
무리,muri,"swarm, unreasonable"
무섭다,museopda,scary
무슨,museun,what
무엇,mueot,what
무엇이,mueosi,what
무역,muyeok,trade
무용,muyong,dance
무척,mucheok,very
문,mun,"door, gate"
문구점,mungujeom,stationery store
문장,munjang,sentence
문제,munje,problem
문화,munhwa,culture
묻다,mutda,ask
물,mul,water
물건,mulgeon,"stuff, thing"
물론,mulron,"sure, of course"
물어보다,mureoboda,ask
뭐,mwo,what
미국,miguk,The United States
미래,mirae,future
미리,miri,"in advance, beforehand"
미술,misul,art
미술관,misulgwan,"art gallery, art museum"
미안하다,mianhada,sorry
미안합니다,mianhapnida,I'm sorry.
미용실,miyongsil,beauty salon
미터,miteo,meter
민속촌,minsokchon,folk village
밀가루,milgaru,flour
밀리다,milrida,"be shaved, be pushed"
밑,mit,"bottom, below"
바꾸다,bakkuda,change
바뀌다,bakkwida,be changed
바나나,banana,banana
바다,bada,sea
바닷가,badatga,beach
바라다,barada,hope
바람,baram,wind
바로,baro,"immediately, soon, just"
바르다,bareuda,"right, paint, wear"
바쁘다,bappeuda,busy
바이올린,baiolrin,violin
바지,baji,pants
박물관,bakmulgwan,museum
박수,baksu,"clap, applause"
밖,bak,"out, outside"
반,ban,"half, group"
반갑다,bangapda,"nice to meet, happy"
반갑습니다,bangapseupnida,Nice to meet you.
반년,bannyeon,half a year
반달,bandal,half-moon
반바지,banbaji,shorts
반지,banji,ring
반찬,banchan,side dish
받다,batda,receive
발,bal,"foot, leg"
발가락,balgarak,toe(s)
발음,bareum,pronunciation
발전,baljeon,development
발표,balpyo,"announcement, presentation"
밝다,bakda,bright
밤,bam,night
밥,bap,"rice, meal"
방,bang,room
방법,bangbeop,"way, method"
방송,bangsong,broadcast
방송국,bangsongguk,broadcast stations
방학,banghak,vacation
배,bae,"ship, stomach, pear"
배고프다,baegopeuda,hungry
배구,baegu,volleyball
배달,baedal,delivery
배부르다,baebureuda,be full (I am full.)
배우,baeu,actor
배우다,baeuda,learn
배탈,baetal,stomachache
백,baek,100
백화점,baekhwajeom,department store
버리다,beorida,"abandon, throw away"
버스,beoseu,bus
번,beon,~ time(s)
번호,beonho,number
벌다,beolda,"earn, make money"
벌써,beolsseo,already
벗다,beotda,"take off (clothes, shoes)"
벚꽃,beotkkot,cherry blossom
베이징,beijing,Beijing
베트남,beteunam,Vietnam
벽,byeok,wall
변호사,byeonhosa,lawyer
별,byeol,star
별로,byeolro,not really
병,byeong,"illness, ~ bottle(s)"
병원,byeongwon,hospital
보내다,bonaeda,"send, spend"
보다,boda,see
보도,bodo,"sidewalk, report"
보이다,boida,"show, look"
보통,botong,"usually, normally, in general"
복숭아,boksunga,peach
복잡하다,bokjaphada,"complicated, crowded"
볶다,bokda,fry
볶음밥,bokkeumbap,fried rice
볼펜,bolpen,ballpoint pen
봄,bom,spring
봉지,bongji,bag
봉투,bongtu,envelope
뵙다,boepda,meet
부동산,budongsan,real estate
부드럽다,budeureopda,"soft, friendly"
부르다,bureuda,"call, sing"
부모,bumo,parents
부부,bubu,"couple, husband and wife, married couple"
부산,busan,Busan
부업,bueop,sideline
부엌,bueok,kitchen
부인,buin,"wife, Mrs."
부장,bujang,director
부지런하다,bujireonhada,diligent
부치다,buchida,"send, fry, transmit"
부탁,butak,"request, please"
부탁하다,butakhada,"beg, ask"
북쪽,bukjjok,North
분,bun,"~ person(s), ~ minute(s)"
분위기,bunwigi,atmosphere
불,bul,"fire, electrical light"
불고기,bulgogi,"Bulgogi, grilled meat"
불다,bulda,"blow (wind or whistle, musical instruments, etc.)"
불편하다,bulpyeonhada,"uncomfortable, inconvenient"
붓다,butda,pour
붙다,butda,"stick, pass a test"
붙이다,butida,"attach, stick"
브라질,beurajil,Brazil
블라우스,beulrauseu,blouse
비,bi,rain
비누,binu,soap
비디오,bidio,video
비밀,bimil,secret
비빔밥,bibimbap,"Bibimbap, mixed rice"
비슷하다,biseuthada,"similar, like"
비싸다,bissada,expensive
비행기,bihaenggi,airplane
비행장,bihaengjang,"airfield, airport"
빌딩,bilding,building
빌리다,bilrida,"borrow, lend"
빠르다,ppareuda,fast
빨간색,ppalgansaek,red color
빨갛다,ppalgata,red
빨다,ppalda,"suck, do laundry"
빨래,ppalrae,"laundry, wash"
빨리,ppalri,quickly
빵,ppang,bread
빵집,ppangjip,bakery
빼다,ppaeda,"remove, pull, pull out"
뿐,ppun,only
사,sa,4
사거리,sageori,"intersection, four corners"
사계절,sagyejeol,four seasons
사고,sago,accident
사과,sagwa,apple
사다,sada,buy
사람,saram,"person, man"
사랑,sarang,love
사랑하다,saranghada,love
사례,sarye,"case, example"
사무실,samusil,office
사물,samul,"object, thing"
사십,sasip,40
사업가,saeopga,"entrepreneur, businessman"
사용하다,sayonghada,use
사원,sawon,"temple, employee"
사월,sawol,April
사이,sai,"between, while"
사이다,saida,cider
사이즈,saijeu,size
사인하다,sainhada,sign
사장,sajang,"CEO, the president"
사전,sajeon,dictionary
사진,sajin,"picture, photo"
사진기,sajingi,camera
사촌,sachon,cousin
사탕,satang,candy
사흘,saheul,3 days
산,san,mountain
산책,sanchaek,walk
살,sal,"flesh, ~ year(s) old"
살다,salda,live
삼,sam,3
삼거리,samgeori,"intersection, three-way intersection"
삼계탕,samgyetang,Samgyetang
삼십,samsip,30
삼월,samwol,March
삼촌,samchon,paternal uncle
상관,sanggwan,relation
상자,sangja,box
상처,sangcheo,"wound, scratch"
상품,sangpum,product
새,sae,"bird, new"
새로,saero,newly
새벽,saebyeok,"dawn, late at night, early morning"
새우,saeu,shrimp
색,saek,color
색깔,saekkkal,color
샌드위치,saendeuwichi,sandwich
생각,saenggak,"thinking, thought"
생각되다,saenggakdoeda,"be considered, it seems~"
생각하다,saenggakhada,think
생기다,saenggida,"form, arise"
생선,saengseon,fish
생신,saengsin,birthday  (honorific form)
생일,saengil,birthday
생활,saenghwal,life
샤워하다,syawohada,take a shower
샴푸,syampu,shampoo
서다,seoda,stand
서로,seoro,"each other, both"
서류,seoryu,document
서른,seoreun,30
서비스,seobiseu,service
서양,seoyang,"western, west"
서울,seoul,Seoul
서울역,seouryeok,Seoul station
서점,seojeom,bookstore
서쪽,seojjok,"west, western"
선물,seonmul,"gift, present"
선배,seonbae,"elder, senior"
선생님,seonsaengnim,teacher
선수,seonsu,player
선택하다,seontaekhada,"choose, select"
선풍기,seonpunggi,fan
설거지,seolgeoji,"washing dishes, dish-washing"
설날,seolnal,Lunar New Year
설렁탕,seolreongtang,Seolleongtang
설명,seolmyeong,"explanation, description"
설명하다,seolmyeonghada,explain
설악산,seoraksan,Mt. Seorak
설탕,seoltang,sugar
섬,seom,island
성,seong,"castle, last name"
성격,seonggyeok,personality
성함,seongham,name
세계,segye,world
세수하다,sesuhada,wash
세우다,seuda,"set up, formulate"
세일하다,seilhada,have a sale
세탁기,setakgi,washing machine
세탁소,setakso,"dry cleaners, laundromat"
센터,senteo,center
센티미터,sentimiteo,centimeter
셋,set,3
셋째,setjjae,third
소,so,"small, cow"
소개,sogae,introduction
소개하다,sogaehada,introduce
소고기,sogogi,beef
소금,sogeum,salt
소리,sori,"sound, voice"
소설,soseol,novel
소설가,soseolga,novelist
소식,sosik,news
소파,sopa,sofa
소포,sopo,parcel
소풍,sopung,"picnic, trip"
소화제,sohwaje,"peptic, digestive"
