korean,romaji,english
속,sok,inside
손,son,hand
손가락,songarak,finger
손님,sonnim,customer
손수건,sonsugeon,handkerchief
송이,songi,"bunch, flower, cluster"
쇼핑,syoping,shopping
수건,sugeon,"towel, washcloth"
수도,sudo,"capital, water supply"
수돗물,sudotmul,tap water
수박,subak,watermelon
수술하다,susulhada,operate on for
수업,sueop,"class, lesson"
수영,suyeong,swimming
수영복,suyeongbok,swimsuit
수영장,suyeongjang,swimming pool
수요일,suyoil,Wednesday
수저,sujeo,chopsticks and a spoon
수첩,sucheop,"note, notebook"
수학,suhak,mathematics
숙제,sukje,homework
순서,sunseo,"order, turn"
숟가락,sutgarak,spoon
술,sul,"alcohol, liquor"
쉬다,swida,rest
쉰,swin,50
쉽다,swipda,easy
슈퍼마켓,syupeomaket,supermarket
스물,seumul,20
스웨터,seuweteo,sweater
스케이트,seukeiteu,skate
스키,seuki,"ski, skiing"
스키장,seukijang,ski resort
스타,seuta,star
스타킹,seutaking,stockings
스트레스,seuteureseu,stress
스페인어,seupeineo,Spanish
스포츠,seupocheu,sport
슬퍼하다,seulpeohada,"sorrow, mourn"
슬프다,seulpeuda,sad
습관,seupgwan,habit
시,si,"city, time"
시간,sigan,time
시간표,siganpyo,"schedule, timetable"
시계,sigye,clock
시골,sigol,countryside
시끄럽다,sikkeureopda,noisy
시내,sinae,"downtown, city, stream"
시다,sida,sour
시디,sidi,CD
시민,simin,citizen
시설,siseol,facility
시외,sioe,suburbs
시원하다,siwonhada,"cool, refresh"
시월,siwol,October
시작,sijak,start
시작되다,sijakdoeda,begin
시작하다,sijakhada,"start, begin"
시장,sijang,market
시청,sicheong,city hall
시키다,sikida,"make someone do, order"
시험,siheom,"exam, test"
식당,sikdang,"restaurant, cafeteria"
식사,siksa,meal
식탁,siktak,table
신,sin,"god, new"
신다,sinda,"put on, wear"
신문,sinmun,newspaper
신발,sinbal,"shoes, footwear"
신청서,sincheongseo,application forms
신청하다,sincheonghada,"put in for, apply for"
실례,silrye,excuse
실례하다,silryehada,be excused
실수,silsu,"mistake, failure"
싫다,silta,hate
싫어하다,sireohada,"dislike, hate"
심하다,simhada,"severe, terrible"
십,sip,10
십이월,sibiwol,December
십일월,sibirwol,November
싱겁다,singgeopda,not salty
싶다,sipda,want
싸다,ssada,"cheap, wrap"
싸우다,ssauda,fight
쌀,ssal,rice
쌀밥,ssalbap,cooked rice
쌓이다,ssaida,"stack up, pile up"
썰다,sseolda,"chop, cut"
쓰기,sseugi,"writing, dictation"
쓰다,sseuda,"write, use, wear (glasses)"
쓰레기,sseuregi,garbage
쓰이다,sseuida,"be written, be used"
씨,ssi,"seed, Mr. ~"
씩,ssik,"each, every, per"
씹다,ssipda,"chew, bite"
씻다,ssitda,wash
아가씨,agassi,"Miss, daughter"
아기,agi,"baby, toddler"
아까,akka,"earlier, while ago"
아내,anae,wife
아뇨,anyo,no
아니다,anida,no
아니오,anio,no
아니요,aniyo,no
아들,adeul,son
아랍어,arabeo,Arabic
아래,arae,"bottom, under"
아름답다,areumdapda,beautiful
아마,ama,"maybe, perhaps"
아무,amu,any
아버님,abeonim,father
아버지,abeoji,father
아빠,appa,dad
아시아,asia,Asia
아이,ai,child
아이스크림,aiseukeurim,ice cream
아저씨,ajeossi,"uncle, mister"
아주,aju,"very, completely"
아주머니,ajumeoni,"old lady, madame, aunt"
아줌마,ajumma,"old lady, madame, aunt"
아직,ajik,"yet, still"
아침,achim,"morning, breakfast"
아침밥,achimbap,breakfast
아침식사,achimsiksa,breakfast
아파트,apateu,"apartment, mansion"
아프다,apeuda,"painful, sick"
아프리카,apeurika,Africa
아홉,ahop,9
아흔,aheun,90
악기,akgi,musical instrument
안,an,"within, not ~"
안경,angyeong,glasses
안내하다,annaehada,"guide, invite"
안녕하세요,annyeonghaseyo,"hi, hello"
안녕하십니까,annyeonghasipnikka,hello
안다,anda,"embrace, cradle"
안전하다,anjeonhada,safe
앉다,anda,sit
알다,alda,know
알리다,alrida,inform
알맞다,almatda,"fit, appropriate"
알았습니다,aratseupnida,I understood.
앞,ap,"front, previous"
애,ae,child
액세서리,aekseseori,accessory
야구,yagu,baseball
야채,yachae,vegetable
약,yak,"about, medicine"
약간,yakgan,"slightly, a little"
약국,yakguk,pharmacy
약사,yaksa,pharmacist
약속,yaksok,"appointment, promise"
얇다,yalda,thin
양,yang,"amount, sheep"
양말,yangmal,socks
양복,yangbok,suit
양식,yangsik,"form, western style"
양파,yangpa,onion
얘기하다,yaegihada,talk
어깨,eokkae,shoulder
어느,eoneu,"which, how"
어둡다,eodupda,dark
어디,eodi,where
어떤,eotteon,"which, what"
어떻게,eotteoke,how
어떻다,eotteota,how
어떻습니까?,eotteosseupnikka?,How is it?
어렵다,eoryeopda,difficult
어른,eoreun,adult
어리다,eorida,young
어린이,eorini,child
어머,eomeo,"oh, well"
어머니,eomeoni,mother
어머님,eomeonim,mother
어서,eoseo,"hurry, quickly"
어울리다,eoulrida,"look good on, befit"
어저께,eojeokke,yesterday
어제,eoje,yesterday
어젯밤,eojetbam,last night
언니,eonni,sister (as seen from the younger sister)
언제,eonje,when
언제나,eonjena,"always, anytime"
얼굴,eolgul,face
얼마나,eolmana,how much
얼음,eoreum,ice
엄마,eomma,mom
없다,eopda,"none, no, not"
없이,eopsi,without
에어컨,eeokeon,air conditioner
엔,en,yen
엘리베이터,elribeiteo,elevator
여권,yeogwon,passport
여기,yeogi,here
여기저기,yeogijeogi,here and there
여덟,yeodeol,8
여동생,yeodongsaeng,younger sister
여든,yeodeun,80
여러,yeoreo,"various, many"
여러가지,yeoreogaji,"several, various"
여러분,yeoreobun,"everyone, ladies and gentlemen"
여름,yeoreum,summer
여보세요,yeoboseyo,hello
여섯,yeoseot,6
여자,yeoja,woman
여학생,yeohaksaeng,female student
여행,yeohaeng,travel
여행사,yeohaengsa,"travel agency, travel firm"
역,yeok,station
역사,yeoksa,history
연락처,yeonrakcheo,contact information
연세,yeonse,age  (honorific form)
연습,yeonseup,practice
연습하다,yeonseuphada,practice
연예인,yeonyein,celebrity
연필,yeonpil,pencil
연휴,yeonhyu,consecutive holidays
열,yeol,10
열다,yeolda,open
열리다,yeolrida,be opened
열쇠,yeolsoe,key
열심히,yeolsimhi,"hard, enthusiastic"
열차,yeolcha,train
엽서,yeopseo,postcard
영,yeong,"spirit, zero"
영국,yeongguk,The United Kingdom
영상,yeongsang,video
영어,yeongeo,English
영어회화,yeongeohoehwa,English conversation
영하,yeongha,"minus, below zero"
영화,yeonghwa,movie
영화관,yeonghwagwan,movie theater
영화배우,yeonghwabaeu,movie star
영화표,yeonghwapyo,movie ticket
옆,yeop,side
예,ye,yes
예문,yemun,"example, model sentence"
예쁘다,yeppeuda,"pretty, beautiful"
예순,yesun,60
예약,yeyak,reservation
옛날,yetnal,"a long ago, olden days"
오,o,5
오늘,oneul,today
오다,oda,come
오래,orae,"long, much"
오래간만,oraeganman,after a long time
오래간만입니다,oraeganmanipnida,Long time no see.
오랜만,oraenman,after a long time
오랜만에,oraenmane,after a long time
오랫동안,oraetdongan,for a long time
오렌지,orenji,orange
오르다,oreuda,climb
오른쪽,oreunjjok,"right side, right"
오리,ori,duck
오빠,oppa,brother (as seen from the younger sister)
오십,osip,50
오월,owol,May
오이,oi,cucumber
오전,ojeon,"morning, a.m."
오징어,ojingeo,squid
오후,ohu,afternoon
올라가다,olragada,go up
올라오다,olraoda,come up
올려놓다,olryeonota,"put on, place"
올림픽,olrimpik,olympic
올해,olhae,this year
옮기다,omgida,"move, transfer, translate"
옷,ot,"dress, clothes"
옷가게,otgage,clothing store
옷장,otjang,closet
와이셔츠,waisyeocheu,shirt
왜,wae,why
왜냐하면,waenyahamyeon,because
외국,oeguk,foreign country
외국어,oegugeo,foreign language
외국인,oegugin,foreigner
외롭다,oeropda,lonely
외삼촌,oesamchon,maternal uncle
외숙모,oesukmo,maternal aunt
외출하다,oechulhada,go out
외할머니,oehalmeoni,maternal grandmother
외할아버지,oeharabeoji,maternal grandfather
왼쪽,oenjjok,left
요금,yogeum,fee
요르단,yoreudan,Jordan
요리,yori,"cooking, cuisine"
요일,yoil,day of the week
요즘,yojeum,"nowadays, around this time, lately"
우리,uri,"we, us"
우리나라,urinara,"our country, South Korea"
우산,usan,umbrella
우선,useon,first
우유,uyu,milk
우체국,ucheguk,post office
우표,upyo,stamp
운동,undong,exercise
운동복,undongbok,"sportswear, gym clothes"
운동선수,undongseonsu,athlete
운동장,undongjang,"playground, athletic field"
운동하다,undonghada,exercise
운동화,undonghwa,sports shoes
운전하다,unjeonhada,drive
울다,ulda,cry
울리다,ulrida,"make cry, chime"
움직이다,umjigida,move
웃기다,utgida,"funny, make someone laugh"
웃다,utda,laugh
원,won,won (currency units of Korea)
원피스,wonpiseu,one-piece dress
원하다,wonhada,"want, wish, desire"
월,wol,month
월급,wolgeup,monthly salary
월드컵,woldeukeop,world cup
월세,wolse,monthly rent
월요일,woryoil,Monday
웬일,wenil,"for some reason,  What was it?"
위,wi,"top, up"
위치,wichi,"location, position"
위하다,wihada,"for, in favor of, for the sake of"
위험하다,wiheomhada,dangerous
유럽,yureop,Europe
유리,yuri,glass
유명하다,yumyeonghada,famous
유월,yuwol,June
유학,yuhak,study abroad
유학생,yuhaksaeng,"foreign student, international student"
유행,yuhaeng,trend
육,yuk,6
육십,yuksip,60
은행,eunhaeng,bank
은행원,eunhaengwon,bank clerk
음료수,eumryosu,"drink, soft drink"
음반,eumban,record
음식,eumsik,"food, cooking"
음악,eumak,music
음악가,eumakga,musician
응,eung,Yeah (answer)
의미,uimi,meaning
의사,uisa,doctor
의자,uija,chair
이,i,"this, tooth, 2"
이거,igeo,this
이것,igeot,this
이곳,igot,"this place, here"
이따가,ittaga,later
이런,ireon,"this, such ~"
이렇게,ireoke,"like this, so, in this way"
이렇다,ireota,like this
이름,ireum,name
이메일,imeil,e-mail
이모,imo,maternal aunt
이모부,imobu,maternal uncle
이번,ibeon,this time
이분,ibun,this person
이사,isa,"move, moving"
이상,isang,"more than, strange"
이상하다,isanghada,"strange, funny, weird"
이십,isip,20
이야기,iyagi,story
이야기하다,iyagihada,talk
이용,iyong,usage
이용하다,iyonghada,use
이월,iwol,February
이유,iyu,reason
이제,ije,now
이집트,ijipteu,Egypt
이쪽,ijjok,"this way, here, this person"
이틀,iteul,two days
이해,ihae,understanding
이해하다,ihaehada,understand
인,in,"sign,  ~   person(s)"
인구,ingu,population
인기,ingi,popularity
인기스타,ingiseuta,popular star
인도,indo,India
인사,insa,greetings
인사하다,insahada,greet
인삼,insam,ginseng
인상,insang,impression
인천,incheon,Incheon
인터넷,inteonet,internet
인터뷰하다,inteobyuhada,interview
인형,inhyeong,doll
일,il,"work, 1, day"
일곱,ilgop,7
일기,ilgi,diary
일기예보,ilgiyebo,weather forecast
일본,ilbon,Japan
일본드라마,ilbondeurama,Japanese drama
일본말,ilbonmal,Japanese language
일본사람,ilbonsaram,Japanese people
일본어,ilboneo,Japanese language
일본요리,ilbonyori,Japanese food
일상생활,ilsangsaenghwal,everyday life
일식,ilsik,"Japanese style, Japanese food"
일어나다,ireonada,"rise, stand, occur"
일어서다,ireoseoda,"get up, stand up"
일요일,iryoil,Sunday
일월,irwol,January
일주일,iljuil,one week
일찍,iljjik,early
일하다,ilhada,work
일흔,ilheun,70
읽기,ikgi,reading
읽다,ikda,read
잃다,ilta,lose
잃어버리다,ireobeorida,lose
입,ip,mouth
입구,ipgu,entrance
입다,ipda,"put on, wear"
입원하다,ibwonhada,hospitalize
입학,iphak,admission
있다,itda,"have, there"
잊다,itda,forget
잊어버리다,ijeobeorida,forget
자,ja,"character, Here we go."
자기,jagi,"myself, own"
자다,jada,sleep
자동차,jadongcha,"car, automobile"
자동차회사,jadongchahoesa,car company
자료,jaryo,"material, document"
자르다,jareuda,cut
자리,jari,"seat, location"
자신,jasin,"myself, own"
자연,jayeon,nature
자유,jayu,freedom
자장면,jajangmyeon,Jajangmyeon
자전거,jajeongeo,bicycle
자주,jaju,often
작년,jaknyeon,last year
작다,jakda,small
작은아버지,jageunabeoji,uncle
작은어머니,jageuneomeoni,aunt
잔,jan,"glass, ~ cup(s)"
잔치,janchi,"party, feast"
잘,jal,well
잘못,jalmot,mistake
잘생기다,jalsaenggida,handsome
잘하다,jalhada,"do well, good at"
잠,jam,"slumbers, sleep"
잠깐,jamkkan,"for a while, a little"
잠시,jamsi,"for a bit, for a while, a little"
잠자다,jamjada,"sleep, go to bed"
잡다,japda,"catch, grab, hold"
잡수시다,japsusida,eat (honorific form)
잡지,japji,magazine
장,jang,"~ chapter(s), ~ sheet(s)"
장갑,janggap,gloves
장마,jangma,rainy season
장마철,jangmacheol,rainy season
장미,jangmi,rose
장소,jangso,place
장점,jangjeom,advantage
재료,jaeryo,material
재미없다,jaemieopda,"not funny, uninteresting"
재미있다,jaemiitda,interesting
재킷,jaekit,jacket
저,jeo,that
저거,jeogeo,that
저것,jeogeot,that
저곳,jeogot,over there
저기,jeogi,"there, over there"
저녁,jeonyeok,"dinner, evening, night"
저녁식사,jeonyeoksiksa,dinner
저렇게,jeoreoke,"like that, in that way"
저분,jeobun,that person
저쪽,jeojjok,"there, over there"
저희,jeohui,we
적,jeok,enemy
적다,jeokda,"be few, write down"
전,jeon,"all, before"
전공,jeongong,major
전기자동차,jeongijadongcha,electric car
전자사전,jeonjasajeon,electronic dictionary
전하다,jeonhada,tell
전혀,jeonhyeo,not at all
전화,jeonhwa,telephone
전화기,jeonhwagi,telephone
전화번호,jeonhwabeonho,phone number
절,jeol,"~ section(s), temple"
절대,jeoldae,"never, absolutely"
젊다,jeomda,young
점,jeom,point
점수,jeomsu,"score, point"
점심,jeomsim,lunch
점심시간,jeomsimsigan,lunchtime
점심식사,jeomsimsiksa,lunch
점원,jeomwon,clerk
점퍼,jeompeo,jacket
젓가락,jeotgarak,chopsticks
정거장,jeonggeojang,"station, depot"
정도,jeongdo,degree
정류장,jeongryujang,"station, bus stop"
정리하다,jeongrihada,"straighten out, organize"
정말,jeongmal,"really, truly"
정문,jeongmun,"front door, main gate"
정보,jeongbo,information
정하다,jeonghada,"choose, establish"
제가,jega,I
제목,jemok,title
제일,jeil,most
제주도,jejudo,Jeju Island
조금,jogeum,a little
조사하다,josahada,investigate
조선,joseon,"shipbuilding, Korea"
조선말,joseonmal,Korean language
조선어,joseoneo,Korean language
조심하다,josimhada,"be careful, warn"
조용하다,joyonghada,"silent, quiet"
조용히,joyonghi,quietly
조카,joka,nephew
졸업,joreop,graduation
졸업하다,joreophada,graduate
좀,jom,a little
좀더,jomdeo,a little more
좁다,jopda,narrow
종로,jongro,Jong-ro
종류,jongryu,"kind, type"
종업원,jongeobwon,employee
종이,jongi,paper
종일,jongil,all day
좋다,jota,good
좋아하다,joahada,like
죄송하다,joesonghada,sorry
주,ju,week
주다,juda,give
주로,juro,mainly
주말,jumal,weekend
주머니,jumeoni,"pocket, pouch"
주무시다,jumusida,"sleep, rest"
주문하다,jumunhada,order
주변,jubyeon,around
주부,jubu,housewife
주사,jusa,injection
주소,juso,address
주스,juseu,juice
주위,juwi,around
주인,juin,owner
주차장,juchajang,parking lot
주차하다,juchahada,park
주황색,juhwangsaek,orange color
죽,juk,"bamboo, porridge"
죽다,jukda,die
준비,junbi,preparation
준비하다,junbihada,prepare
줄,jul,"line, column, string"
줄다,julda,"shrink, decrease"
중,jung,"medium, during"
중국,jungguk,China
중국어,junggugeo,Chinese
중국집,junggukjip,Chinese restaurant
중식,jungsik,Chinese cuisine
중심,jungsim,center
중요,jungyo,importance
중요하다,jungyohada,important
중학교,junghakgyo,"middle school, Junior high school"
중학생,junghaksaeng,middle school student
즐거워하다,jeulgeowohada,have fun
즐겁다,jeulgeopda,"fun, be pleasant"
즐기다,jeulgida,"enjoy, have fun"
증세,jeungse,"symptom, medical condition"
지각,jigak,"tardy, being late"
지갑,jigap,wallet
지금,jigeum,now
지나다,jinada,pass by
지난달,jinandal,last month
지난번,jinanbeon,last time
지난주,jinanju,last week
지내다,jinaeda,"stay, spend, live"
지다,jida,lose
지도,jido,map
지방,jibang,"fat, region"
지우개,jiugae,eraser
지키다,jikida,protect
지하,jiha,underground
지하도,jihado,underpass
지하철,jihacheol,subway
지하철역,jihacheoryeok,subway station
직업,jigeop,"job, profession"
직원,jigwon,"employee, staff"
직장,jikjang,workplace
직접,jikjeop,"directly, direct"
진달래,jindalrae,azalea
질,jil,quality
질문,jilmun,question
질문하다,jilmunhada,ask a question
짐,jim,"load, baggage"
집,jip,"house, shop"
짓다,jitda,"build, create"
짜다,jjada,"salty, make (the plan)"
짜리,jjari,a value (won coin)
짧다,jjalda,short
쪽,jjok,"side, page"
쯤,jjeum,"about, around ~"
찌개,jjigae,"stew, soup"
찍다,jjikda,"pierce, take (a photo), press"
차,cha,"car, tea"
차갑다,chagapda,cold
차다,chada,kick
차리다,charida,"prepare, arrange"
착하다,chakhada,"be good, friendly"
참,cham,"really, very"
창문,changmun,window
찾다,chatda,"find, visit"
찾아가다,chajagada,go to visit
찾아오다,chajaoda,come to visit
채소,chaeso,vegetable
책,chaek,book
책방,chaekbang,bookstore
책상,chaeksang,desk
책임,chaegim,responsibility
책장,chaekjang,bookshelf
처음,cheoeum,"first, for the first time"
처음 뵙겠습니다,cheoeum boepgetseupnida,Nice to meet you.
천,cheon,1000
천천히,cheoncheonhi,slowly
철,cheol,"iron, season"
첫,cheot,first
첫째,cheotjjae,first
청바지,cheongbaji,blue jeans
청소기,cheongsogi,vacuum cleaner
청소하다,cheongsohada,"sweep, clean"
초,cho,~second(s)
초대하다,chodaehada,invite
초등학교,chodeunghakgyo,elementary school
초등학생,chodeunghaksaeng,elementary student
초록색,choroksaek,green color
초콜릿,chokolrit,chocolate
촬영하다,chwaryeonghada,take a picture
최고,choego,"best, the highest"
추다,chuda,dance
추석,chuseok,Chusoku (Korean Thanksgiving Day)
추억,chueok,memory
축구,chukgu,"football, soccer"
축제,chukje,festival
축하,chukha,celebration
축하하다,chukhahada,celebrate
축하합니다,chukhahapnida,congratulations
출구,chulgu,exit
출근하다,chulgeunhada,go to work
출발,chulbal,"start, departure"
출발하다,chulbalhada,depart
출장,chuljang,business trip
춤,chum,dance
춤추다,chumchuda,dance
춥다,chupda,cold
취미,chwimi,hobby
취소하다,chwisohada,cancel
취직하다,chwijikhada,get a job
층,cheung,"layer, ~ floor"
치과,chigwa,"dentist, dentistry"
치료하다,chiryohada,treat
치마,chima,skirt
치약,chiyak,toothpaste
친구,chingu,friend
친절하다,chinjeolhada,be kind
친척,chincheok,relative
친하다,chinhada,"close, familiar"
칠,chil,7
칠십,chilsip,70
칠월,chirwol,July
칠판,chilpan,blackboard
침대,chimdae,bed
칫솔,chitsol,toothbrush
카드,kadeu,card
카레,kare,curry
카메라,kamera,camera
카페,kape,"cafe, coffee shops"
칼,kal,"knife, cutlery, swords"
캐나다,kaenada,Canada
커피,keopi,coffee
커피숍,keopisyop,coffee shop
컴퓨터,keompyuteo,"computer, PC"
컵,keop,cup
케이크,keikeu,cake
켜다,kyeoda,"turn on (the light, the power, etc.)"
코,ko,nose
코트,koteu,coat
코피,kopi,nosebleed
콜라,kolra,Coke
콧노래,kotnorae,humming
콧물,kotmul,"snot, nasal discharge"
콩,kong,"bean, soy"
크기,keugi,size
크다,keuda,"big, large"
크리스마스,keuriseumaseu,Christmas
큰아버지,keunabeoji,uncle
큰어머니,keuneomeoni,aunt
키,ki,"key, height"
킬로그램,kilrogeuraem,kilogram
킬로미터,kilromiteo,kilometer
타다,tada,"ride, get on"
타월,tawol,towel
탁구,takgu,table tennis
태국,taeguk,Thailand
태권도,taegwondo,Taekwondo
태어나다,taeeonada,be born
태풍,taepung,typhoon
택시,taeksi,taxi
탤런트,taelreonteu,entertainers
터미널,teomineol,terminal
테니스,teniseu,tennis
테이블,teibeul,table
텔레비전,telrebijeon,TV
토마토,tomato,tomato
토요일,toyoil,Saturday
통,tong,"barrel, ~ package(s)"
통장,tongjang,"bank book, (deposit) passbook"
통하다,tonghada,"pass, lead"
퇴근하다,toegeunhada,leave the office
특별히,teukbyeolhi,especially
특징,teukjing,"characteristic, feature"
특히,teukhi,"especially, in particular"
틀다,teulda,turn on (the switch)
틀리다,teulrida,wrong
티셔츠,tisyeocheu,t-shirt
팀,tim,team
파,pa,"wave, green onion"
파란색,paransaek,blue color
파랗다,parata,blue
파티,pati,party
팔,pal,8
팔다,palda,sell
팔리다,palrida,"sell, be sold"
팔십,palsip,80
팔월,parwol,August
패션,paesyeon,fashion
퍼센트,peosenteu,percent
페이지,peiji,page
펜,pen,pen
펴다,pyeoda,"spread, stretch"
편,pyeon,"side, episode"
편지,pyeonji,letter
편하다,pyeonhada,"comfortable, easy, convenient"
평양,pyeongyang,Pyongyang
평일,pyeongil,weekday
포도,podo,grape
포장,pojang,packing
표,pyo,"table, ticket"
표현,pyohyeon,expression
푹,puk,deeply
풀,pul,"pool, grass"
풀다,pulda,solve
프랑스,peurangseu,France
프로그램,peurogeuraem,program
프린트,peurinteu,print
피,pi,blood
피곤하다,pigonhada,tired
피다,pida,bloom
피아노,piano,piano
피우다,piuda,"smoke, bloom"
피자,pija,pizza
필름,pilreum,film
필요,piryo,necessity
필요하다,piryohada,need
필통,piltong,pencil case
하나,hana,1
하늘,haneul,sky
하늘색,haneulsaek,"sky blue, light blue"
하다,hada,"do, say"
하루,haru,one day
하숙,hasuk,"boarding house, lodging house"
하숙집,hasukjip,"boarding house, lodging house"
하얀색,hayansaek,white color
하얗다,hayata,white
하지만,hajiman,"but, however"
학,hak,crane
학교,hakgyo,school
학기,hakgi,semester
학년,haknyeon,"grade, school year"
학생,haksaeng,student
학생증,haksaengjeung,student ID card
학원,hagwon,"academy, school"
한,han,"one, one of the ~"
한강,hangang,"Han River, Hangang"
한국,hanguk,Korea
한국드라마,hangukdeurama,Korean drama
한국말,hangukmal,Korean language
한국사람,hanguksaram,Korean people
한국어,hangugeo,Korean language
한국요리,hangugyori,Korean cuisine
한글,hangeul,Hangul
한번,hanbeon,once
한복,hanbok,"Hanbok, Korean traditional clothes"
한식,hansik,Korean cuisine
한자,hanja,Chinese character
할머니,halmeoni,grandmother
할아버지,harabeoji,grandfather
할인,harin,"sale, discount"
함께,hamkke,together
합격,hapgyeok,pass
항상,hangsang,always
해,hae,"year, sun"
해외,haeoe,overseas
해외여행,haeoeyeohaeng,overseas trip
핸드폰,haendeupon,"cell phone, mobile phone"
햄버거,haembeogeo,hamburger
햇빛,haetbit,"sunshine, sunlight"
행복,haengbok,happiness
행복하다,haengbokhada,happy
행사,haengsa,event
허리,heori,"waist, hip"
현금,hyeongeum,cash
현재,hyeonjae,"now, current"
형,hyeong,brother (as seen from the younger brother)
형님,hyeongnim,big brother (honorific form)
형제,hyeongje,sibling
호,ho,No. ~
호랑이,horangi,tiger
호주,hoju,Australia
호텔,hotel,hotel
혼자,honja,alone
홈페이지,hompeiji,home page
홍차,hongcha,black tea
화,hwa,anger
화가,hwaga,"artist, painter"
화나다,hwanada,angry
화내다,hwanaeda,get angry
화요일,hwayoil,Tuesday
화장실,hwajangsil,"restroom, toilet, lavatory"
화장품,hwajangpum,cosmetics
화장하다,hwajanghada,makeup
확인하다,hwaginhada,"confirm, check"
환영하다,hwanyeonghada,welcome
환자,hwanja,patient
회사,hoesa,company
회사원,hoesawon,employee
회색,hoesaek,grey
회의,hoeui,conference
횡단보도,hoengdanbodo,crosswalk
후,hu,after
후배,hubae,Junior
휴가,hyuga,"vacation, holiday"
휴대전화,hyudaejeonhwa,"cell phone, mobile phone"
휴일,hyuil,holiday
휴지,hyuji,toilet paper
휴지통,hyujitong,trash can
흐리다,heurida,cloudy
흰색,huinsaek,white color
힘,him,power
